District,Building name,Last date of visit of the case(s),Related cases
Kowloon City,"Yuen Kwai Building, Whampoa Estate",23/12/2022,
Kowloon City,"Block 1, Lily Mansions, Whampoa Garden",23/12/2022,
Kowloon City,"Block 7, Bauhinia Mansions, Whampoa Garden",23/12/2022,
Kowloon City,"Block 3, Juniper Mansions, Whampoa Garden",23/12/2022,
Kowloon City,"Block 1, Mount Trio Court",23/12/2022,
Kowloon City,Cypress Garden,23/12/2022,
Kowloon City,Pearl House,23/12/2022,
Kowloon City,Sky-Garden,22/12/2022,
Kowloon City,"Block H, Hang Chien Court, Wyler Gardens",22/12/2022,
Kowloon City,Wai Yick Building,22/12/2022,
Kowloon City,Kwong Yiu Building,22/12/2022,
Kowloon City,L. Harbour 18,22/12/2022,
Kowloon City,41 Kai Tak Road,22/12/2022,
Kowloon City,Kar King Mansion,22/12/2022,
Kowloon City,Lorna Villa,22/12/2022,
Kowloon City,Berkeley Building,22/12/2022,
Kowloon City,"On Wo Building, On Wo Yuen",22/12/2022,
Kowloon City,"On Hing Building, On Wo Yuen",22/12/2022,
Kowloon City,"On Tai Building, On Wo Yuen",22/12/2022,
Kowloon City,Comfort House,22/12/2022,
Kowloon City,"Block B, Fair Way Garden",22/12/2022,
Kowloon City,Po Kwong Building,22/12/2022,
Kowloon City,"Phase 2, Boland Court",22/12/2022,
Kowloon City,Tak Shing House,22/12/2022,
Kowloon City,"Phase 1, Edwardian Heights",22/12/2022,
Kowloon City,"Phase 2, Edwardian Heights",22/12/2022,
Kowloon City,"Block B, Albion Gardens",22/12/2022,
Kowloon City,"Block 1, Sun Shing Centre",22/12/2022,
Kowloon City,"Block D, Oriental Gardens",22/12/2022,
Kowloon City,Pak Kin Building,22/12/2022,
Kowloon City,"Block 3, Kent Court",22/12/2022,
Kowloon City,"Block 5, Kent Court",22/12/2022,
Kowloon City,"Tower 3, Harbourfront Landmark",22/12/2022,
Kowloon City,"Tower H2, De Novo",22/12/2022,
Kowloon City,Le Chateau,22/12/2022,
Kowloon City,Yick Kwan House,22/12/2022,
Kowloon City,Bellevue Heights,22/12/2022,
Kowloon City,"Tower 2, Stars By The Harbour",22/12/2022,
Kowloon City,Mega Building,22/12/2022,
Kowloon City,Grand View Court,22/12/2022,
Kowloon City,The Met. Focus,22/12/2022,
Kowloon City,"Tower 1, Parc Regal",22/12/2022,
Kowloon City,2 Hung Fook Street,22/12/2022,
Kowloon City,Beacon Hill Court,22/12/2022,
Kwai Tsing,iPlace,28/12/2022,
Kwai Tsing,King Po Mansion,28/12/2022,
Kwai Tsing,Po Kai Mansion,28/12/2022,
Kwai Tsing,"Block A, Vigor Industrial Building",28/12/2022,
Kwai Tsing,"Block 1, Broadview Garden",28/12/2022,
Kwai Tsing,"Block 2, Broadview Garden",28/12/2022,
Kwai Tsing,"Block 3, Broadview Garden",28/12/2022,
Kwai Tsing,"Block 4, Broadview Garden",28/12/2022,
Kwai Tsing,"Block 5, Broadview Garden",28/12/2022,
Kwai Tsing,"Block 6, Broadview Garden",28/12/2022,
Kwai Tsing,Hip Tak Building,28/12/2022,
Kwai Tsing,"Block A, Hutchison Estate",28/12/2022,
Kwai Tsing,"Block 1, Greenknoll Court",28/12/2022,
Kwai Tsing,"Block 2, Greenknoll Court",28/12/2022,
Kwai Tsing,Tai Wong Ha Resite Village,28/12/2022,
Kwai Tsing,"Fu Kwok House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu On House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Ping House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Keung House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Tak House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Wing House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Man House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Tai House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Pik House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Sau House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Wah House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Yin House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Yat House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Pong House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,"Fu Ching House, Tai Wo Hau Estate",28/12/2022,
Kwai Tsing,On Shing Building,28/12/2022,
Kwai Tsing,"Kar Yam House, On Yam Estate",28/12/2022,
Kwai Tsing,"Hong Yam House, On Yam Estate",28/12/2022,
Kwai Tsing,"Tak Yam House, On Yam Estate",28/12/2022,
Kwai Tsing,"Chak Yam House, On Yam Estate",28/12/2022,
Kwai Tsing,"Cheung Yam House, On Yam Estate",28/12/2022,
Kwai Tsing,"Yiu Yam House, On Yam Estate",28/12/2022,
Kwai Tsing,"Fung Yam House, On Yam Estate",28/12/2022,
Kwai Tsing,"Block 1, Tivoli Garden",28/12/2022,
Kwai Tsing,"Block 2, Tivoli Garden",28/12/2022,
Kwai Tsing,"Block 3, Tivoli Garden",28/12/2022,
Kwai Tsing,"Block 4, Tivoli Garden",28/12/2022,
Kwai Tsing,Wang Wah Mansion,28/12/2022,
Kwai Tsing,"Ting Fung House, Ning Fung Court",28/12/2022,
Kwai Tsing,"Long Fung House, Ning Fung Court",28/12/2022,
Kwai Tsing,"Yun Fung House, Ning Fung Court",28/12/2022,
Kwai Tsing,"Block A, Po Sing Centre",28/12/2022,
Kwai Tsing,"Block B, Po Sing Centre",28/12/2022,
Kwai Tsing,Sheung Man Court,28/12/2022,
Kwai Tsing,Tak Cheong Building,28/12/2022,
Kwai Tsing,Tak Tai Building,28/12/2022,
Kwai Tsing,"Yuet Fung House, Yi Fung Court",28/12/2022,
Kwai Tsing,"Ho Fung House, Yi Fung Court",28/12/2022,
Kwai Tsing,Hang King Garden,28/12/2022,
Kwai Tsing,"Lai Wah House, Yuet Lai Court",28/12/2022,
Kwai Tsing,Yuet Loong Building,28/12/2022,
Kwai Tsing,"Block A, Sun Kwai Hing Gardens",28/12/2022,
Kwai Tsing,"Block B, Sun Kwai Hing Gardens",28/12/2022,
Kwai Tsing,"Block A, New Kwai Fong Gardens",28/12/2022,
Kwai Tsing,"Block B, New Kwai Fong Gardens",28/12/2022,
Kwai Tsing,"Block E, New Kwai Fong Gardens",28/12/2022,
Kwai Tsing,Cheong Wai Mansion,28/12/2022,
Kwai Tsing,Cheong Hung Mansion,28/12/2022,
Kwai Tsing,The Star,28/12/2022,
Kwai Tsing,"Block 1, Mount Haven",28/12/2022,
Kwai Tsing,"Block 3, Mount Haven",28/12/2022,
Kwai Tsing,"Block 5, Mount Haven",28/12/2022,
Kwai Tsing,"Block 6, Mount Haven",28/12/2022,
Kwai Tsing,Yuet Bor Building,28/12/2022,
Kwai Tsing,"Tower 2, Horizon Place",28/12/2022,
Kwai Tsing,Happy Villa,28/12/2022,
Kwai Tsing,"Block 1, Highland Park",28/12/2022,
Kwai Tsing,"Block 2, Highland Park",28/12/2022,
Kwai Tsing,"Block 3, Highland Park",28/12/2022,
Kwai Tsing,"Block 4, Highland Park",28/12/2022,
Kwai Tsing,"Block 5, Highland Park",28/12/2022,
Kwai Tsing,"Block 6, Highland Park",28/12/2022,
Kwai Tsing,"Block 1, Serene Garden",28/12/2022,
Kwai Tsing,"Block 3, Serene Garden",28/12/2022,
Kwai Tsing,"Block 1, Grand Horizon",28/12/2022,
Kwai Tsing,"Block 2, Grand Horizon",28/12/2022,
Kwai Tsing,"Block 3, Grand Horizon",28/12/2022,
Kwai Tsing,"Block 5, Grand Horizon",28/12/2022,
Kwai Tsing,"Block 6, Grand Horizon",28/12/2022,
Kwai Tsing,Chung Mei Lo Uk Village,28/12/2022,
Kwai Tsing,"Block 10, Villa Esplanada",28/12/2022,
Kwai Tsing,"Block 11, Villa Esplanada",28/12/2022,
Kwai Tsing,"Block 1, Villa Esplanada",28/12/2022,
Kwai Tsing,"Block 2, Villa Esplanada",28/12/2022,
Kwai Tsing,"Block 3, Villa Esplanada",28/12/2022,
Kwai Tsing,"Block 5, Villa Esplanada",28/12/2022,
Kwai Tsing,"Block 6, Villa Esplanada",28/12/2022,
Kwai Tsing,"Block 7, Villa Esplanada",28/12/2022,
Kwai Tsing,"Block 8, Villa Esplanada",28/12/2022,
Kwai Tsing,"Block 9, Villa Esplanada",28/12/2022,
Kwai Tsing,"Tower 10, Tierra Verde",28/12/2022,
Kwai Tsing,"Tower 11, Tierra Verde",28/12/2022,
Kwai Tsing,"Tower 12, Tierra Verde",28/12/2022,
Kwai Tsing,"Tower 1, Tierra Verde",28/12/2022,
Kwai Tsing,"Tower 2, Tierra Verde",28/12/2022,
Kwai Tsing,"Tower 3A, Tierra Verde",28/12/2022,
Kwai Tsing,"Tower 3, Tierra Verde",28/12/2022,
Kwai Tsing,"Tower 5, Tierra Verde",28/12/2022,
Kwai Tsing,"Tower 6, Tierra Verde",28/12/2022,
Kwai Tsing,"Tower 8, Tierra Verde",28/12/2022,
Kwai Tsing,"Tower 9, Tierra Verde",28/12/2022,
Kwai Tsing,"Block 1, Prosperity Villa",28/12/2022,
Kwai Tsing,"Block 2, Prosperity Villa",28/12/2022,
Kwai Tsing,"Shek Kai House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Wai House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek On House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Fu House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Ning House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Kwong House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Yi House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Wing House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Yan House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Foon House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Cheung House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Fook House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Sau House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Hing House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Wah House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Shek Yat House, Shek Lei Estate",28/12/2022,
Kwai Tsing,"Yam Heng House, Shek Yam East Estate",28/12/2022,
Kwai Tsing,"Yam Hing House, Shek Yam East Estate",28/12/2022,
Kwai Tsing,"Yan Shek House, Shek Yam Estate",28/12/2022,
Kwai Tsing,"Yung Shek House, Shek Yam Estate",28/12/2022,
Kwai Tsing,"Chi Shek House, Shek Yam Estate",28/12/2022,
Kwai Tsing,"Lai Shek House, Shek Yam Estate",28/12/2022,
Kwai Tsing,"Kai Min Lau, Cho Yiu Chuen",28/12/2022,
Kwai Tsing,"Kai King Lau, Cho Yiu Chuen",28/12/2022,
Kwai Tsing,"Kai Him Lau, Cho Yiu Chuen",28/12/2022,
Kwai Tsing,Fortuna House,28/12/2022,
Kwai Tsing,"Tower 1, Greenview Villa",28/12/2022,
Kwai Tsing,"Tower 2, Greenview Villa",28/12/2022,
Kwai Tsing,"Tower 3, Greenview Villa",28/12/2022,
Kwai Tsing,Mai Ning Building,28/12/2022,
Kwai Tsing,"Block 10, Mayfair Gardens",28/12/2022,
Kwai Tsing,"Block 11, Mayfair Gardens",28/12/2022,
Kwai Tsing,"Block 12, Mayfair Gardens",28/12/2022,
Kwai Tsing,"Block 6, Mayfair Gardens",28/12/2022,
Kwai Tsing,"Block 7, Mayfair Gardens",28/12/2022,
Kwai Tsing,"Block 8, Mayfair Gardens",28/12/2022,
Kwai Tsing,Mai Chung Mansion,28/12/2022,
Kwai Tsing,Mai Kwai Mansion,28/12/2022,
Kwai Tsing,"Block 10, Greenfield Garden",28/12/2022,
Kwai Tsing,"Block 11, Greenfield Garden",28/12/2022,
Kwai Tsing,"Block 2, Greenfield Garden",28/12/2022,
Kwai Tsing,"Block 3, Greenfield Garden",28/12/2022,
Kwai Tsing,"Block 4, Greenfield Garden",28/12/2022,
Kwai Tsing,"Block 5, Greenfield Garden",28/12/2022,
Kwai Tsing,"Block 6, Greenfield Garden",28/12/2022,
Kwai Tsing,"Block 7, Greenfield Garden",28/12/2022,
Kwai Tsing,"Block 8, Greenfield Garden",28/12/2022,
Kwai Tsing,Tsui Yiu Court,28/12/2022,
Kwai Tsing,"Block 1, Hibiscus Park",28/12/2022,
Kwai Tsing,"Block 2, Hibiscus Park",28/12/2022,
Kwai Tsing,"Block 1, Lai King Disciplined Services Quarters",28/12/2022,
Kwai Tsing,"Block 2, Lai King Disciplined Services Quarters",28/12/2022,
Kwai Tsing,"Block 3, Lai King Disciplined Services Quarters",28/12/2022,
Kwai Tsing,"Yeung King House, Lai King Estate",28/12/2022,
Kwai Tsing,"Wo King House, Lai King Estate",28/12/2022,
Kwai Tsing,"On King House, Lai King Estate",28/12/2022,
Kwai Tsing,"Yat King House, Lai King Estate",28/12/2022,
Kwai Tsing,"Lok King House, Lai King Estate",28/12/2022,
Kwai Tsing,"Fung King House, Lai King Estate",28/12/2022,
Kwai Tsing,"Lai Lam House, Lai Yan Court",28/12/2022,
Kwai Tsing,"Lai Ying House, Lai Yan Court",28/12/2022,
Kwai Tsing,"Lai Choi House, Lai Yan Court",28/12/2022,
Kwai Tsing,"Wah Yee Court, Wah Yuen Chuen",28/12/2022,
Kwai Tsing,"Block 12, Wonderland Villas",28/12/2022,
Kwai Tsing,"Block 15, Wonderland Villas",28/12/2022,
Kwai Tsing,"Block 18, Wonderland Villas",28/12/2022,
Kwai Tsing,"Block 20, Wonderland Villas",28/12/2022,
Kwai Tsing,"Block 8, Wonderland Villas",28/12/2022,
Kwai Tsing,16 Wa Tai Road,28/12/2022,
Kwai Tsing,"Hei Lai House, Wah Lai Estate",28/12/2022,
Kwai Tsing,"Seung Lai House, Wah Lai Estate",28/12/2022,
Kwai Tsing,Wah Fung Garden,28/12/2022,
Kwai Tsing,"Block 2, Wah Fung Industrial Centre",28/12/2022,
Kwai Tsing,"Kwai Yue House, Kwai Chun Court",28/12/2022,
Kwai Tsing,"Kwai Ming House, Kwai Hong Court",28/12/2022,
Kwai Tsing,"Block A, Kwai Sing Centre",28/12/2022,
Kwai Tsing,"Block B, Kwai Sing Centre",28/12/2022,
Kwai Tsing,Kwai Lok Building,28/12/2022,
Kwai Tsing,Kwai Chung Building,28/12/2022,
Kwai Tsing,"Block 3, Kwai Chung Plaza",28/12/2022,
Kwai Tsing,Kwai Chung Gee Chang House,28/12/2022,
Kwai Tsing,Kwai Chung Fa Yuen,28/12/2022,
Kwai Tsing,"Hop Kwai House, Kwai Chung Estate",28/12/2022,
Kwai Tsing,"Ha Kwai House, Kwai Chung Estate",28/12/2022,
Kwai Tsing,"Yuk Kwai House, Kwai Chung Estate",28/12/2022,
Kwai Tsing,"Ying Kwai House, Kwai Chung Estate",28/12/2022,
Kwai Tsing,"Chun Kwai House, Kwai Chung Estate",28/12/2022,
Kwai Tsing,"Pik Kwai House, Kwai Chung Estate",28/12/2022,
Kwai Tsing,"Chau Kwai House, Kwai Chung Estate",28/12/2022,
Kwai Tsing,"Luk Kwai House, Kwai Chung Estate",28/12/2022,
Kwai Tsing,"Chui Kwai House, Kwai Chung Estate",28/12/2022,
Kwai Tsing,"Chin Kwai House, Kwai Chung Estate",28/12/2022,
Kwai Tsing,"Tsz Kwai House, Kwai Chung Estate",28/12/2022,
Kwai Tsing,"Yat Kwai House, Kwai Chung Estate",28/12/2022,
Kwai Tsing,"Shing Hei House, Kwai Shing East Estate",28/12/2022,
Kwai Tsing,"Shing Kwok House, Kwai Shing East Estate",28/12/2022,
Kwai Tsing,"Shing On House, Kwai Shing East Estate",28/12/2022,
Kwai Tsing,"Shing Fu House, Kwai Shing East Estate",28/12/2022,
Kwai Tsing,"Shing Keung House, Kwai Shing East Estate",28/12/2022,
Kwai Tsing,"Shing Lok House, Kwai Shing East Estate",28/12/2022,
Kwai Tsing,"Shing Hing House, Kwai Shing East Estate",28/12/2022,
Kwai Tsing,"Shing Yat House, Kwai Shing East Estate",28/12/2022,
Kwai Tsing,"Block 1, Kwai Shing West Estate",28/12/2022,
Kwai Tsing,"Block 4, Kwai Shing West Estate",28/12/2022,
Kwai Tsing,"Block 5, Kwai Shing West Estate",28/12/2022,
Kwai Tsing,"Block 6, Kwai Shing West Estate",28/12/2022,
Kwai Tsing,"Block 7, Kwai Shing West Estate",28/12/2022,
Kwai Tsing,"Block 8, Kwai Shing West Estate",28/12/2022,
Kwai Tsing,"Block 9, Kwai Shing West Estate",28/12/2022,
Kwai Tsing,Kwai Cheung Building,28/12/2022,
Kwai Tsing,Kwai Fook Building,28/12/2022,
Kwai Tsing,"Bik Tsui House, Kwai Tsui Estate",28/12/2022,
Kwai Tsing,"Luk Tsui House, Kwai Tsui Estate",28/12/2022,
Kwai Tsing,"Luen Hei House, Kwai Luen Estate",28/12/2022,
Kwai Tsing,"Luen Yuet House, Kwai Luen Estate",28/12/2022,
Kwai Tsing,"Luen Yan House, Kwai Luen Estate",28/12/2022,
Kwai Tsing,"Luen Yat House, Kwai Luen Estate",28/12/2022,
Kwai Tsing,"Hing Kok House, Kwai Hing Estate",28/12/2022,
Kwai Tsing,"Hing Lok House, Kwai Hing Estate",28/12/2022,
Kwai Tsing,"Hing Fuk House, Kwai Hing Estate",28/12/2022,
Kwai Tsing,"Kwai Shun House, Kwai Fong Estate",28/12/2022,
Kwai Tsing,"Kwai Kin House, Kwai Fong Estate",28/12/2022,
Kwai Tsing,"Kwai Hei House, Kwai Fong Estate",28/12/2022,
Kwai Tsing,"Kwai On House, Kwai Fong Estate",28/12/2022,
Kwai Tsing,"Kwai Ming House, Kwai Fong Estate",28/12/2022,
Kwai Tsing,"Kwai Chi House, Kwai Fong Estate",28/12/2022,
Kwai Tsing,"Kwai Foon House, Kwai Fong Estate",28/12/2022,
Kwai Tsing,"Kwai Ching House, Kwai Fong Estate",28/12/2022,
Kwai Tsing,"Kwai Tai House, Kwai Fong Estate",28/12/2022,
Kwai Tsing,"Block 2, Kwai Fong Terrace",28/12/2022,
Kwai Tsing,"Block 3, Kwai Fong Terrace",28/12/2022,
Kwai Tsing,Kwai Wah Building,28/12/2022,
Kwai Tsing,"Block 1, Kwai Yung Court",28/12/2022,
Kwai Tsing,"Block 2, Kwai Yung Court",28/12/2022,
Kwai Tsing,Kwai Fung Building,28/12/2022,
Kwai Tsing,"On Kwai House, Kwai Fuk Court",28/12/2022,
Kwai Tsing,"Lok Kwai House, Kwai Fuk Court",28/12/2022,
Kwai Tsing,"Tower 2, Rambler Crest",28/12/2022,
Kwai Tsing,"Tower 3, Rambler Crest",28/12/2022,
Kwai Tsing,"Tower 5, Rambler Crest",28/12/2022,
Kwai Tsing,Lam Tin Resite Village,28/12/2022,
Kwai Tsing,Yee Fat Building,28/12/2022,
Kwai Tsing,Hover Court,28/12/2022,
Kwai Tsing,"Yin Kwong House, Yin Lai Court",28/12/2022,
Kwai Tsing,"Yin Tak House, Yin Lai Court",28/12/2022,
Kwai Tsing,Win Fong Heights,28/12/2022,
Kwai Tsing,Golden Industrial Building,28/12/2022,
Kwai Tsing,Kam Heng Building,28/12/2022,
Kwai Tsing,Bank Building,28/12/2022,
Kwai Tsing,"Hang Chun House, Cheung Hang Estate",28/12/2022,
Kwai Tsing,"Hang Yee House, Cheung Hang Estate",28/12/2022,
Kwai Tsing,"Hang Chi House, Cheung Hang Estate",28/12/2022,
Kwai Tsing,"Hang Lai House, Cheung Hang Estate",28/12/2022,
Kwai Tsing,"On Kong House, Cheung On Estate",28/12/2022,
Kwai Tsing,"On Pak House, Cheung On Estate",28/12/2022,
Kwai Tsing,"On Yeung House, Cheung On Estate",28/12/2022,
Kwai Tsing,"On Hoi House, Cheung On Estate",28/12/2022,
Kwai Tsing,"On Ching House, Cheung On Estate",28/12/2022,
Kwai Tsing,"On Mei House, Cheung On Estate",28/12/2022,
Kwai Tsing,"On Wu House, Cheung On Estate",28/12/2022,
Kwai Tsing,"On Chiu House, Cheung On Estate",28/12/2022,
Kwai Tsing,"On Tao House, Cheung On Estate",28/12/2022,
Kwai Tsing,"Wang Yung House, Cheung Wang Estate",28/12/2022,
Kwai Tsing,"Wang Sin House, Cheung Wang Estate",28/12/2022,
Kwai Tsing,"Wang Sum House, Cheung Wang Estate",28/12/2022,
Kwai Tsing,"Wang Yee House, Cheung Wang Estate",28/12/2022,
Kwai Tsing,"Wang Ching House, Cheung Wang Estate",28/12/2022,
Kwai Tsing,"Wang Ngai House, Cheung Wang Estate",28/12/2022,
Kwai Tsing,"Hong Wo House, Cheung Hong Estate",28/12/2022,
Kwai Tsing,"Hong On House, Cheung Hong Estate",28/12/2022,
Kwai Tsing,"Hong Fu House, Cheung Hong Estate",28/12/2022,
Kwai Tsing,"Hong Ping House, Cheung Hong Estate",28/12/2022,
Kwai Tsing,"Hong Wing House, Cheung Hong Estate",28/12/2022,
Kwai Tsing,"Hong Tai House, Cheung Hong Estate",28/12/2022,
Kwai Tsing,"Hong Cheung House, Cheung Hong Estate",28/12/2022,
Kwai Tsing,"Hong Mei House, Cheung Hong Estate",28/12/2022,
Kwai Tsing,"Hong Wah House, Cheung Hong Estate",28/12/2022,
Kwai Tsing,"Hong Fung House, Cheung Hong Estate",28/12/2022,
Kwai Tsing,"Hong Shun House, Cheung Hong Estate",28/12/2022,
Kwai Tsing,"Leung Fat House, Cheung Fat Estate",28/12/2022,
Kwai Tsing,"King Fat House, Cheung Fat Estate",28/12/2022,
Kwai Tsing,"Yin Fat House, Cheung Fat Estate",28/12/2022,
Kwai Tsing,"Ching Chung House, Cheung Ching Estate",28/12/2022,
Kwai Tsing,"Ching Pak House, Cheung Ching Estate",28/12/2022,
Kwai Tsing,"Ching Mui House, Cheung Ching Estate",28/12/2022,
Kwai Tsing,"Ching Yeung House, Cheung Ching Estate",28/12/2022,
Kwai Tsing,"Ching Yung House, Cheung Ching Estate",28/12/2022,
Kwai Tsing,"Ching Wai House, Cheung Ching Estate",28/12/2022,
Kwai Tsing,The Apex Horizon Hotel,28/12/2022,
Kwai Tsing,"Tower 1, The Apex",28/12/2022,
Kwai Tsing,"Tower 2, The Apex",28/12/2022,
Kwai Tsing,"Chun Ho House, Ching Chun Court",28/12/2022,
Kwai Tsing,"Chun Hin House, Ching Chun Court",28/12/2022,
Kwai Tsing,"Wang Chau House, Ching Wang Court",28/12/2022,
Kwai Tsing,"Wang Yu House, Ching Wang Court",28/12/2022,
Kwai Tsing,"Block 2, Tsing Yi Garden",28/12/2022,
Kwai Tsing,"Block 3, Tsing Yi Garden",28/12/2022,
Kwai Tsing,"Block 5, Tsing Yi Garden",28/12/2022,
Kwai Tsing,"Block 7, Tsing Yi Garden",28/12/2022,
Kwai Tsing,"Chun Tai House, Ching Tai Court",28/12/2022,
Kwai Tsing,"Po Tai House, Ching Tai Court",28/12/2022,
Kwai Tsing,"Hang Tai House, Ching Tai Court",28/12/2022,
Kwai Tsing,"Cheung Tai House, Ching Tai Court",28/12/2022,
Kwai Tsing,"Shing Tai House, Ching Tai Court",28/12/2022,
Kwai Tsing,"Tung Tai House, Ching Tai Court",28/12/2022,
Kwai Tsing,"Hung Tai House, Ching Tai Court",28/12/2022,
Kwai Tsing,Ching Shing Court,28/12/2022,
Kwai Tsing,"Wah Woon House, Ching Wah Court",28/12/2022,
Kwai Tsing,"Wah Suen House, Ching Wah Court",28/12/2022,
Kwai Tsing,"Wah Pik House, Ching Wah Court",28/12/2022,
Kwai Tsing,"Wah Fung House, Ching Wah Court",28/12/2022,
Kwai Tsing,"Block B, Tsing Yi Police Married Quarters",28/12/2022,
Kwai Tsing,"Yee Wai House, Tsing Yi Estate",28/12/2022,
Kwai Tsing,"Yee Kui House, Tsing Yi Estate",28/12/2022,
Kwai Tsing,"Yee Yip House, Tsing Yi Estate",28/12/2022,
Kwai Tsing,"Yee Yat House, Tsing Yi Estate",28/12/2022,
Kwai Tsing,15 Tsing Yi Heung Sze Wui Road,28/12/2022,
Kwai Tsing,Tsing Yu New Village,28/12/2022,
Kwai Tsing,"Tower 2, Easeful Court",28/12/2022,
Kwai Tsing,Rambler Oasis Hotel,28/12/2022,
Kwai Tsing,Ching Nga Court,28/12/2022,
Kwai Tsing,"Tower 1, High Prosperity Terrace",28/12/2022,
Kwai Tsing,"Tower 2, High Prosperity Terrace",28/12/2022,
Kwai Tsing,"Wing Yiu House, Lai Yiu Estate",28/12/2022,
Kwai Tsing,"Lok Yiu House, Lai Yiu Estate",28/12/2022,
Kwai Tsing,"Wah Yiu House, Lai Yiu Estate",28/12/2022,
Kwai Tsing,"Kwai Yiu House, Lai Yiu Estate",28/12/2022,
Kwai Tsing,"Block 7, Broadview Garden",27/12/2022,
Kwai Tsing,Lee Wo Building,27/12/2022,
Kwai Tsing,Shing Wah Building,27/12/2022,
Kwai Tsing,Ming Yin Building,27/12/2022,
Kwai Tsing,Greenknoll Court,27/12/2022,
Kwai Tsing,"Fu Nga House, Tai Wo Hau Estate",27/12/2022,
Kwai Tsing,Tin On House,27/12/2022,
Kwai Tsing,"Ching Fung House, Ning Fung Court",27/12/2022,
Kwai Tsing,Foon Tak Building,27/12/2022,
Kwai Tsing,"Block C, Po Sing Centre",27/12/2022,
Kwai Tsing,"Block D, Po Sing Centre",27/12/2022,
Kwai Tsing,23 Texaco Road,27/12/2022,
Kwai Tsing,"Lai Wan House, Yuet Lai Court",27/12/2022,
Kwai Tsing,"Lai Ha House, Yuet Lai Court",27/12/2022,
Kwai Tsing,Sing Shing Building,27/12/2022,
Kwai Tsing,San Uk Resite Village,27/12/2022,
Kwai Tsing,"Block C, Sun Kwai Hing Gardens",27/12/2022,
Kwai Tsing,"Block C, New Kwai Fong Gardens",27/12/2022,
Kwai Tsing,"Block D, New Kwai Fong Gardens",27/12/2022,
Kwai Tsing,Cheong Wang Mansion,27/12/2022,
Kwai Tsing,Cheong Fat Building,27/12/2022,
Kwai Tsing,"Block 2, Mount Haven",27/12/2022,
Kwai Tsing,"Tower 1, Horizon Place",27/12/2022,
Kwai Tsing,"Block 2, Serene Garden",27/12/2022,
Kwai Tsing,Hoi Cheong Building,27/12/2022,
Kwai Tsing,Chun Po Building,27/12/2022,
Kwai Tsing,Shui King Building,27/12/2022,
Kwai Tsing,"Tower 7, Tierra Verde",27/12/2022,
Kwai Tsing,"Shek Hei House, Shek Lei Estate",27/12/2022,
Kwai Tsing,"Yam Yue House, Shek Yam East Estate",27/12/2022,
Kwai Tsing,"Kai Kwong Lau, Cho Yiu Chuen",27/12/2022,
Kwai Tsing,"Kai Lim Lau, Cho Yiu Chuen",27/12/2022,
Kwai Tsing,"Kai Hang Lau, Cho Yiu Chuen",27/12/2022,
Kwai Tsing,"Kai Chun Lau, Cho Yiu Chuen",27/12/2022,
Kwai Tsing,"Block 5, Mayfair Gardens",27/12/2022,
Kwai Tsing,"Block 1, Greenfield Garden",27/12/2022,
Kwai Tsing,"Block 9, Greenfield Garden",27/12/2022,
Kwai Tsing,"Block A, Lai King Terrace",27/12/2022,
Kwai Tsing,"Block 13, Wonderland Villas",27/12/2022,
Kwai Tsing,"Block 19, Wonderland Villas",27/12/2022,
Kwai Tsing,"Block 2, Wonderland Villas",27/12/2022,
Kwai Tsing,Man Shing Building,27/12/2022,
Kwai Tsing,Kwai Fu Building,27/12/2022,
Kwai Tsing,Kwai King Building,27/12/2022,
Kwai Tsing,Kwai Chung Centre,27/12/2022,
Kwai Tsing,"Block 1, Kwai Chung Plaza",27/12/2022,
